Phrase ^ Count
saith the lord  ^ 731
arose and came to  ^ 2
abishai the son of zeruiah  ^ 2
i will go down with  ^ 2
neither man nor woman  ^ 2
with the six hundred men  ^ 2
said unto achish  ^ 2
that day wherefore  ^ 2
and the time that david  ^ 2
saying as the lord liveth  ^ 2
done this thing  ^ 2
the voice of the lord nor  ^ 2
he had eaten no bread  ^ 2
and sat upon the bed  ^ 2
unto him behold thou  ^ 2
is not this david  ^ 2
for i have not found  ^ 2
david and said unto  ^ 2
for thy servant heareth  ^ 2
and opened the doors of the house  ^ 2
that he could not see  ^ 2
and went to eli  ^ 2
to eli and said  ^ 2
here am i for thou didst call  ^ 2
three days and three  ^ 2
days and three nights  ^ 2
art thou and he said i  ^ 2
to this company  ^ 2
upon all the earth  ^ 2
four hundred young  ^ 2
and there escaped not a man  ^ 2
neither sons nor daughters  ^ 2
ye shall not do so  ^ 2
the wife of nabal the carmelite  ^ 2
and the six hundred men  ^ 2
of israel that were on the other side  ^ 2
what meaneth the noise of this  ^ 2
israel forty years  ^ 2
the glory is departed from israel  ^ 2
of the lord came into  ^ 2
took the ark of god  ^ 2
all the lords of the philistines  ^ 2
behold dagon was fallen  ^ 2
dagon was fallen upon his face  ^ 2
did so and took  ^ 2
two milch kine  ^ 2
and turned not aside to the right hand or to the left  ^ 2
because the lord had smitten  ^ 2
holy lord god  ^ 2
and the men of israel went out  ^ 2
israel all the days  ^ 2
and there he built an altar  ^ 2
he built an altar unto the lord  ^ 2
the ark of the lord and it came to pass  ^ 2
before the lord and fasted  ^ 2
and when the children of israel heard  ^ 2
of israel said to  ^ 2
an altar unto the lord and it came to pass  ^ 2
of the king that shall reign  ^ 2
that shall reign over  ^ 2
and they said nay but  ^ 2
said unto the men  ^ 2
me and served other gods  ^ 2
out of egypt even unto this  ^ 2
then said saul to his servant  ^ 2
and when they were come into  ^ 2
tell me i pray thee where  ^ 2
paul and silvanus  ^ 2
and timothy unto the  ^ 2
timothy unto the church  ^ 2
unto the church of the thessalonians  ^ 2
he raised from the dead  ^ 2
whom he raised from  ^ 2
jesus christ we give thanks  ^ 2
mention of you in  ^ 2
christ we give thanks to god  ^ 2
you all making  ^ 2
making mention of you  ^ 2
and labor of love  ^ 2
power and in  ^ 2
in macedonia and  ^ 2
not only in  ^ 2
his kingdom and  ^ 2
not god and  ^ 2
them to the uttermost  ^ 2
you the gospel  ^ 2
ye are our  ^ 2
men but god  ^ 2
not the gospel  ^ 2
labor and travail  ^ 2
and our lord  ^ 2
you and the  ^ 2
god even our  ^ 2
even our father  ^ 2
jesus christ with  ^ 2
christ with all  ^ 2
we were with you  ^ 2
faith and charity  ^ 2
stand fast in the lord  ^ 2
we commanded you that  ^ 2
even as others  ^ 2
we which are alive and remain  ^ 2
from heaven with  ^ 2
and honor not  ^ 2
his brother in  ^ 2
that i write unto you for  ^ 2
you in the lord  ^ 2
of god in christ  ^ 2
as a thief in  ^ 2
a thief in the night  ^ 2
soul and body  ^ 2
brethren pray for  ^ 2
the brethren with  ^ 2
brethren the grace  ^ 2
but ye brethren  ^ 2
are not in  ^ 2
by our lord  ^ 2
faith and love  ^ 2
and love which  ^ 2
love which is in  ^ 2
saying and worthy  ^ 2
and worthy of all  ^ 2
worthy of all acceptation  ^ 2
and jesus christ  ^ 2
in the faith grace  ^ 2
of whom is hymenaeus  ^ 2
is hymenaeus and  ^ 2
out of a pure heart  ^ 2
the truth in christ  ^ 2
a preacher and an apostle  ^ 2
or gold or  ^ 2
which is the church  ^ 2
must be blameless  ^ 2
be blameless the husband  ^ 2
blameless the husband of one  ^ 2
the husband of one wife  ^ 2
not given to wine no  ^ 2
given to wine no striker  ^ 2
no striker not  ^ 2
not given to much  ^ 2
given to much wine  ^ 2
and doctrine for  ^ 2
thou shalt not muzzle the ox  ^ 2
and prayers night  ^ 2
the faith and  ^ 2
that the name  ^ 2
the appearing of our  ^ 2
of kings and lord  ^ 2
in the chariot cities and with  ^ 2
cities and with the king  ^ 2
made he as the sycamore trees that  ^ 2
and cedar trees made he as the sycamore trees  ^ 2
that were brought up with  ^ 2
my father chastised you with whips  ^ 2
chastised you with whips but i  ^ 2
you with whips but i will chastise you with scorpions  ^ 2
in the son of jesse every man  ^ 2
that dwelt in the cities of judah  ^ 2
answer to this people  ^ 2
and benjamin and the priests and the levites  ^ 2
of israel came to jerusalem  ^ 2
came to shemaiah  ^ 2
maachah the daughter of absalom  ^ 2
of judah and to all  ^ 2
first and last are they  ^ 2
and last are they not  ^ 2
and said unto them thus saith  ^ 2
saith the lord ye  ^ 2
to reign over judah  ^ 2
against you o children of israel  ^ 2
which is in mount ephraim  ^ 2
let not man prevail  ^ 2
unto the lord his god  ^ 2
the lord his god and said  ^ 2
his god and said lord  ^ 2
fenced cities in judah  ^ 2
and seven thousand sheep  ^ 2
small or great  ^ 2
whether man or woman  ^ 2
and thirtieth year of the reign  ^ 2
the cities which he had taken  ^ 2
king of israel came up  ^ 2
lo they are written in  ^ 2
benhadad king of syria  ^ 2
king of judah and said  ^ 2
of the lord fell upon  ^ 2
thousand mighty men of valor  ^ 2
in the land of judah and in the cities  ^ 2
in all the fenced cities  ^ 2
riches and honor in abundance  ^ 2
to ramothgilead to battle  ^ 2
and the king said to  ^ 2
have no shepherd and the lord  ^ 2
shepherd and the lord said  ^ 2
good unto me but  ^ 2
the lord sitting upon  ^ 2
but jehoshaphat said is there not  ^ 2
blood and blood between  ^ 2
between blood and blood  ^ 2
went out to meet him and said  ^ 2
and twenty thousand baths  ^ 2
in the mountain and three thousand  ^ 2
on the sabbaths and on the new moons and on the solemn feasts  ^ 2
before the lord with  ^ 2
fear not nor  ^ 2
and all judah and the inhabitants  ^ 2
praise the lord for  ^ 2
place was called the valley  ^ 2
with joy for the lord  ^ 2
behold they are written in the book  ^ 2
the hand of judah unto  ^ 2
the prophet saying thus  ^ 2
eight years in jerusalem  ^ 2
and he reigned eight years  ^ 2
years in jerusalem and he walked  ^ 2
in jerusalem and he walked in the way  ^ 2
and he walked in the way of the kings  ^ 2
did the house of ahab  ^ 2
the house of ahab for  ^ 2
by night and smote the edomites  ^ 2
she arose and destroyed all  ^ 2
and destroyed all the seed  ^ 2
all the seed royal  ^ 2
the mother of ahaziah saw  ^ 2
of ahaziah saw that  ^ 2
saw that her son  ^ 2
that her son was dead  ^ 2
her son was dead she arose  ^ 2
was dead she arose and destroyed  ^ 2
and stole him from among the kings  ^ 2
him from among the kings sons  ^ 2
took joash the son  ^ 2
joash the son of ahaziah  ^ 2
the son of ahaziah and stole  ^ 2
of ahaziah and stole him from among  ^ 2
six years and athaliah  ^ 2
one year in jerusalem  ^ 2
years old was ahaziah  ^ 2
old was ahaziah when he began to reign  ^ 2
was ahaziah when he began to reign and he reigned  ^ 2
when he began to reign and he reigned one  ^ 2
and he reigned one year  ^ 2
jehoram the son of ahab  ^ 2
king of judah went down  ^ 2
of judah went down to see  ^ 2
because he was sick  ^ 2
the lord with all his heart  ^ 2
of the temple to the left  ^ 2
of the temple along by the altar and the temple  ^ 2
the kings son and put  ^ 2
she came to the people  ^ 2
heard the noise of the people  ^ 2
by the king and all  ^ 2
the king and all the people  ^ 2
and said unto them have her forth  ^ 2
with the sword for the priest  ^ 2
that they should be the lords people  ^ 2
and jehoiada made a covenant  ^ 2
made a covenant between  ^ 2
and slew mattan the priest  ^ 2
mattan the priest of baal  ^ 2
the priest of baal before  ^ 2
of baal before the altars  ^ 2
as it is written in the law of moses  ^ 2
at the gates of the house  ^ 2
the king from the house of the lord  ^ 2
of the land rejoiced and the city  ^ 2
this is the thing that  ^ 2
that ye shall do a third part  ^ 2
ye shall do a third part of  ^ 2
for they are holy  ^ 2
come into the house of the lord  ^ 2
the king round about every man  ^ 2
round about every man with his weapons  ^ 2
every man his men that were to come in  ^ 2
his men that were to come in on the sabbath  ^ 2
that were to come in on the sabbath with  ^ 2
did according to all things that  ^ 2
according to all things that jehoiada  ^ 2
when he began to reign and he reigned forty  ^ 2
and he reigned forty years  ^ 2
and all the princes and all  ^ 2
that there was much money  ^ 2
all the days of jehoiada  ^ 2
a hundred and thirty years  ^ 2
upon judah and jerusalem  ^ 2
of the lord god of their fathers  ^ 2
did that which was right in the sight  ^ 2
in the sight of the lord all  ^ 2
of the lord all the days  ^ 2
and amaziah his son reigned  ^ 2
and he begot sons and daughters  ^ 2
and his mothers name was jehoaddan  ^ 2
and he reigned twenty and nine  ^ 2
and said i know that  ^ 2
of jehu king of israel  ^ 2
of israel saying come  ^ 2
of judah saying the thistle  ^ 2
saying the thistle that  ^ 2
the thistle that was in lebanon  ^ 2
that was in lebanon sent  ^ 2
was in lebanon sent to  ^ 2
sent to the cedar  ^ 2
to the cedar that  ^ 2
the cedar that was in lebanon  ^ 2
that was in lebanon saying  ^ 2
was in lebanon saying give  ^ 2
saying give thy daughter  ^ 2
give thy daughter to my son  ^ 2
thy daughter to my son to wife  ^ 2
to my son to wife and there passed by  ^ 2
to wife and there passed by a wild  ^ 2
and there passed by a wild beast  ^ 2
a wild beast that  ^ 2
beast that was in lebanon  ^ 2
that was in lebanon and trod down  ^ 2
was in lebanon and trod down the thistle  ^ 2
sent to amaziah  ^ 2
to amaziah king  ^ 2
that thou shouldest fall even thou and judah  ^ 2
even thou and judah with  ^ 2
of jerusalem and he did that which was right  ^ 2
and judah with but amaziah  ^ 2
with but amaziah would not  ^ 2
but amaziah would not hear  ^ 2
and amaziah king of judah  ^ 2
at bethshemesh which belongeth to judah  ^ 2
which belongeth to judah and judah  ^ 2
belongeth to judah and judah was put to the worse  ^ 2
and judah was put to the worse before  ^ 2
was put to the worse before israel  ^ 2
before israel and they fled  ^ 2
israel and they fled every man  ^ 2
the wall of jerusalem from the gate  ^ 2
of jerusalem from the gate of ephraim  ^ 2
the corner gate four  ^ 2
gate four hundred  ^ 2
four hundred cubits  ^ 2
and joash the king of israel  ^ 2
of israel took amaziah  ^ 2
took amaziah king  ^ 2
king of judah the son  ^ 2
the vessels that were found in the house  ^ 2
of joash son of jehoahaz  ^ 2
king of israel fifteen  ^ 2
of israel fifteen years  ^ 2
and amaziah the son of joash  ^ 2
king of judah lived  ^ 2
of judah lived after  ^ 2
lived after the death  ^ 2
a conspiracy against him in jerusalem  ^ 2
against him in jerusalem and he fled  ^ 2
him in jerusalem and he fled to lachish  ^ 2
and he fled to lachish but they sent  ^ 2
commanded saying the fathers  ^ 2
saying the fathers shall not  ^ 2
for the children neither  ^ 2
the children neither shall the children  ^ 2
for the fathers but  ^ 2
the fathers but every man  ^ 2
years old and above  ^ 2
years old and made him king  ^ 2
the people of judah took  ^ 2
was sixteen years old  ^ 2
hundred thousand and seven  ^ 2
thousand and seven thousand  ^ 2
and seven thousand and five  ^ 2
his father amaziah he  ^ 2
amaziah he built  ^ 2
and restored it to judah after that  ^ 2
it to judah after that the king  ^ 2
after that the king slept  ^ 2
the king slept with  ^ 2
and azariah the chief priest  ^ 2
and dwelt in a several house  ^ 2
judging the people of the land  ^ 2
a leper unto the day  ^ 2
unto the day of his death  ^ 2
the day of his death and dwelt  ^ 2
of his death and dwelt in a several  ^ 2
for they said he  ^ 2
and jotham his son reigned  ^ 2
his fathers and they buried him with  ^ 2
sixteen years old  ^ 2
when he began to reign and he reigned fifty  ^ 2
jerusalem and he did that which was right  ^ 2
that his father amaziah  ^ 2
when he began to reign and he reigned sixteen  ^ 2
the daughter of zadok and he did  ^ 2
of zadok and he did that which was right  ^ 2
that his father uzziah  ^ 2
gate of the house of the lord  ^ 2
a hundred talents of silver  ^ 2
before the lord his god  ^ 2
now the rest of the acts of jotham  ^ 2
five and twenty years  ^ 2
when he began to reign and reigned sixteen  ^ 2
and ahaz his son reigned  ^ 2
and jotham slept with  ^ 2
years in jerusalem but he did  ^ 2
not that which was right in the sight  ^ 2
against the lord your god now  ^ 2
the princes and all the congregation  ^ 2
king of assyria came  ^ 2
of the house of the lord and he made  ^ 2
and hezekiah his son reigned  ^ 2
and ahaz slept with  ^ 2
after the abominations of the heathen whom  ^ 2
whom the lord had cast out  ^ 2
the lord had cast out before  ^ 2
had cast out before the children  ^ 2
in the valley of the son of hinnom  ^ 2
in the high places and on the hills  ^ 2
and on the hills and under  ^ 2
nine and twenty years  ^ 2
on the first day of the first month  ^ 2
according to all that david  ^ 2
to build the house of the lord  ^ 2
cubits reaching to the wall  ^ 2
reaching to the wall of the house  ^ 2
to the wall of the house and the other  ^ 2
of the house and the other wing  ^ 2
to the wing of the other cherub  ^ 2
in the fourth year of his reign  ^ 2
was threescore cubits and the breadth  ^ 2
the breadth of the house twenty  ^ 2
to keep the passover unto the lord  ^ 2
the passover unto the lord god  ^ 2
all israel and judah  ^ 2
a very great congregation  ^ 2
and the children of israel that were present  ^ 2
the feast of unleavened bread seven  ^ 2
to the congregation a thousand bullocks  ^ 2
and the thing pleased the king  ^ 2
against the fenced cities  ^ 2
saying the lord our god  ^ 2
know ye not what  ^ 2
deliver his people out of mine hand  ^ 2
and the prophet isaiah the son  ^ 2
all the mighty men of valor  ^ 2
and manasseh his son reigned  ^ 2
and hezekiah slept with  ^ 2
for the king of assyria  ^ 2
all judah that  ^ 2
did sennacherib king of assyria  ^ 2
reigned in his stead manasseh  ^ 2
in his stead manasseh was twelve  ^ 2
manasseh was twelve years  ^ 2
was twelve years old  ^ 2
fifty and five years  ^ 2
now the rest of the acts of manasseh  ^ 2
and amon his son reigned  ^ 2
reigned in his stead amon  ^ 2
two years in jerusalem  ^ 2
conspired against him and slew  ^ 2
amon and the people of the land  ^ 2
of the land slew all  ^ 2
slew all them that had conspired  ^ 2
all them that had conspired against  ^ 2
them that had conspired against king  ^ 2
against king amon  ^ 2
king amon and the people  ^ 2
again the high places which  ^ 2
the high places which hezekiah  ^ 2
which hezekiah his father  ^ 2
altars in the house of the lord  ^ 2
whereof the lord had said  ^ 2
and he built altars for all  ^ 2
altars for all the host  ^ 2
for all the host of heaven  ^ 2
the host of heaven in the two  ^ 2
of heaven in the two courts  ^ 2
of the lord to provoke him to anger and he set  ^ 2
to david and to  ^ 2
david and to solomon  ^ 2
and to solomon his son  ^ 2
solomon his son in this  ^ 2
his son in this house  ^ 2
in this house and in jerusalem  ^ 2
house and in jerusalem which  ^ 2
and in jerusalem which i have chosen  ^ 2
of israel will i put my name  ^ 2
will i put my name forever  ^ 2
my name forever neither  ^ 2
all that i have commanded  ^ 2
in his stead josiah was eight  ^ 2
josiah was eight years  ^ 2
when he began to reign and he reigned in jerusalem  ^ 2
that had the oversight of the house of the lord  ^ 2
which the kings of judah  ^ 2
hilkiah the priest found  ^ 2
the book of the law in the house  ^ 2
of the law in the house of the lord  ^ 2
in the house of the lord and hilkiah  ^ 2
the book to shaphan  ^ 2
shaphan the scribe i have found  ^ 2
the scribe i have found the book  ^ 2
i have found the book of the law  ^ 2
saying all that  ^ 2
and have delivered it into the hand  ^ 2
me a book and shaphan read  ^ 2
and shaphan read it before  ^ 2
read it before the king  ^ 2
the king saying hilkiah  ^ 2
saying hilkiah the priest  ^ 2
it before the king and it came to pass  ^ 2
the king and it came to pass when the king  ^ 2
and it came to pass when the king had heard  ^ 2
when the king had heard the words  ^ 2
of the law that he rent his clothes  ^ 2
that he rent his clothes and the king  ^ 2
a servant of the kings saying  ^ 2
his clothes and the king commanded  ^ 2
and ahikam the son of shaphan  ^ 2
of the kings saying go  ^ 2
for great is the wrath  ^ 2
great is the wrath of the lord  ^ 2
is the wrath of the lord that  ^ 2
the lord for me and for  ^ 2
the wife of shallum the son  ^ 2
keeper of the wardrobe now she  ^ 2
of the wardrobe now she dwelt  ^ 2
now she dwelt in jerusalem  ^ 2
dwelt in jerusalem in the college  ^ 2
huldah the prophetess the wife  ^ 2
the prophetess the wife of shallum  ^ 2
that sent you to  ^ 2
god of israel tell  ^ 2
sent you to thus  ^ 2
and upon the inhabitants thereof even  ^ 2
the inhabitants thereof even all  ^ 2
all the curses that are written  ^ 2
you to thus saith  ^ 2
with all the works of their hands  ^ 2
the works of their hands therefore my wrath  ^ 2
place and shall not be quenched  ^ 2
because they have forsaken me and have burned incense  ^ 2
they have forsaken me and have burned incense unto other  ^ 2
gods that they might provoke me to anger  ^ 2
that they might provoke me to anger with all  ^ 2
they might provoke me to anger with all the works  ^ 2
which thou hast heard because  ^ 2
this place and against  ^ 2
place and against the inhabitants  ^ 2
thou hast heard because thine heart  ^ 2
because thine heart was tender  ^ 2
see all the evil  ^ 2
will bring upon this  ^ 2
and gathered together all the elders  ^ 2
and the groves and the carved images and the molten images  ^ 2
and the priests and the levites and all  ^ 2
and he read in their ears all  ^ 2
in their ears all the words  ^ 2
the words of the book of the covenant  ^ 2
and the king went up into the house  ^ 2
into the house of the lord and all  ^ 2
of the lord and all the men  ^ 2
in the house of the lord and the king  ^ 2
the lord to walk after  ^ 2
to walk after the lord  ^ 2
after the lord and to keep  ^ 2
the lord and to keep his commandments  ^ 2
and to keep his commandments and his testimonies  ^ 2
his commandments and his testimonies and his statutes  ^ 2
and his testimonies and his statutes with all  ^ 2
with all his heart and with all  ^ 2
his heart and with all his soul  ^ 2
of the lord and the king stood  ^ 2
and made a covenant before  ^ 2
before the lord to walk  ^ 2
shaphan the son of azaliah  ^ 2
to hilkiah the high  ^ 2
as it is written in the book of moses  ^ 2
now the rest of the acts of josiah  ^ 2
two thousand and six hundred  ^ 2
of the land took jehoahaz  ^ 2
took jehoahaz the son  ^ 2
jehoahaz the son of josiah  ^ 2
zedekiah was one and twenty  ^ 2
was one and twenty years  ^ 2
years in jerusalem and he did  ^ 2
three months in jerusalem  ^ 2
jehoahaz was twenty and three  ^ 2
was twenty and three years  ^ 2
of the lord by the mouth of jeremiah  ^ 2
the lord stirred up the spirit  ^ 2
stirred up the spirit of cyrus  ^ 2
the spirit of cyrus king  ^ 2
king of persia that he made a proclamation  ^ 2
of persia that he made a proclamation throughout all  ^ 2
that he made a proclamation throughout all his kingdom  ^ 2
throughout all his kingdom and put it also  ^ 2
his kingdom and put it also in writing  ^ 2
and put it also in writing saying  ^ 2
now in the first year of cyrus  ^ 2
king of persia that the word  ^ 2
of persia that the word of the lord  ^ 2
in writing saying thus  ^ 2
hath charged me to build him a house  ^ 2
which is in judah who  ^ 2
is in judah who is there among you of all  ^ 2
who is there among you of all his people  ^ 2
thus saith cyrus  ^ 2
saith cyrus king  ^ 2
cyrus king of persia  ^ 2
talents of silver and a talent  ^ 2
of silver and a talent of gold  ^ 2
and turned his name to jehoiakim  ^ 2
jehoiakim was twenty and five  ^ 2
and jehoiachin his son reigned  ^ 2
now the rest of the acts of jehoiakim  ^ 2
the pots and the shovels and the basins  ^ 2
to cover the two pommels  ^ 2
the two pommels of the chapiters  ^ 2
pommels of the chapiters which  ^ 2
one sea and twelve  ^ 2
all these vessels  ^ 2
five on the right hand and five  ^ 2
on the right hand and five on the left  ^ 2
and praised the lord saying  for  ^ 2
the lord saying  for he is good  ^ 2
saying  for he is good for  ^ 2
that he made with  ^ 2
david my father that which  ^ 2
my father that which thou hast promised  ^ 2
the hearts of the children of men  ^ 2
the heavens even from thy dwelling place  ^ 2
for thy name then hear thou from  ^ 2
then hear thou from the heavens  ^ 2
there is no man which  ^ 2
unto the prayer that is made in this place  ^ 2
thou and the ark of thy strength  ^ 2
and the ark of thy strength let thy priests  ^ 2
turn not away the face of thine anointed  ^ 2
that the lord had showed  ^ 2
that there be no rain  ^ 2
which are called by my name  ^ 2
the house of the lord because  ^ 2
and a byword among all nations  ^ 2
brought them forth out of the land of egypt  ^ 2
god of their fathers which  ^ 2
the children of israel saw  ^ 2
seven days and all  ^ 2
three times in the year  ^ 2
of unleavened bread and in the feast of weeks  ^ 2
and in the feast of weeks and in the feast  ^ 2
of weeks and in the feast of tabernacles  ^ 2
hundred and fifty talents  ^ 2
the children of israel to dwell  ^ 2
and the hivites and the jebusites which  ^ 2
and all the kings of arabia  ^ 2
all the kings of the earth  ^ 2
and all the kings of the earth  ^ 2
of god and timothy  ^ 2
is this the  ^ 2
by you into  ^ 2
into macedonia and  ^ 2
was not yea and nay  ^ 2
in him was  ^ 2
son of god jesus  ^ 2
you in christ  ^ 2
the earnest of the  ^ 2
earnest of the spirit  ^ 2
of the spirit in  ^ 2
jesus christ blessed  ^ 2
christ the father  ^ 2
even the father of our  ^ 2
us in all  ^ 2
all our tribulation  ^ 2
it is for your consolation  ^ 2
your consolation and  ^ 2
consolation and salvation  ^ 2
according to the measure  ^ 2
to the measure of the  ^ 2
edification and not  ^ 2
by the wall  ^ 2
another gospel which  ^ 2
the very chiefest apostles  ^ 2
among you in  ^ 2
in necessities in  ^ 2
god in christ  ^ 2
in christ but  ^ 2
before god in  ^ 2
out of the body  ^ 2
of the body i cannot tell  ^ 2
body i cannot tell god  ^ 2
i cannot tell god knoweth  ^ 2
of two or three  ^ 2
in the mouth of two  ^ 2
the mouth of two or  ^ 2
hath given me to  ^ 2
shall be with you  ^ 2
one another with a holy  ^ 2
the saints salute  ^ 2
saints salute you  ^ 2
love of god and  ^ 2
grace of the lord  ^ 2
and the love  ^ 2
in you for  ^ 2
for we also  ^ 2
nothing against the  ^ 2
by us in  ^ 2
unto life and  ^ 2
unto death and  ^ 2
in you all  ^ 2
you all that  ^ 2
that my joy  ^ 2
for to this end  ^ 2
the reading of the  ^ 2
by the spirit of the lord  ^ 2
you ye are  ^ 2
behold the face  ^ 2
if the ministration  ^ 2
that the life  ^ 2
the life also  ^ 2
life also of jesus  ^ 2
also of jesus might be made manifest  ^ 2
of jesus might be made manifest in  ^ 2
might be made manifest in our  ^ 2
in us but  ^ 2
life in you  ^ 2
also believe and  ^ 2
we faint not but  ^ 2
but if our  ^ 2
who is the image  ^ 2
in whom the  ^ 2
the god of this  ^ 2
of the knowledge of the  ^ 2
the excellency of the  ^ 2
of god and not  ^ 2
the judgment seat of christ  ^ 2
for the love  ^ 2
from the body  ^ 2
that ye receive not  ^ 2
their god and  ^ 2
saith the lord and  ^ 2
you all for  ^ 2
in you in  ^ 2
by the coming  ^ 2
which is administered by us  ^ 2
in the sight of men and  ^ 2
but now much  ^ 2
ministering to the  ^ 2
in you the  ^ 2
and knowledge and  ^ 2
knowledge and in all  ^ 2
unto all and  ^ 2
of god in you  ^ 2
the brethren that  ^ 2
to every good  ^ 2
whom i love  ^ 2
i love in  ^ 2
love in the truth  ^ 2
amen the elder  ^ 2
not this doctrine  ^ 2
which dwelleth in us  ^ 2
of the father in  ^ 2
in truth as  ^ 2
in it for  ^ 2
in the flesh this  ^ 2
in the doctrine  ^ 2
the doctrine of christ  ^ 2
abideth not in  ^ 2
i be a man of god  ^ 2
from heaven and consume  ^ 2
heaven and consume thee and thy fifty  ^ 2
heaven and consumed him and his fifty  ^ 2
and elijah answered and said  ^ 2
unto him o man of god  ^ 2
therefore thou shalt not come down  ^ 2
the son of jehoshaphat king  ^ 2
there is not a god in israel  ^ 2
now therefore thus saith  ^ 2
thou shalt not come down from  ^ 2
come down from that bed  ^ 2
from that bed on which  ^ 2
unto them what manner  ^ 2
the lord spoke concerning  ^ 2
by his servant elijah  ^ 2
know now that  ^ 2
of ahaziah king of judah  ^ 2
gathered all the people  ^ 2
and they smote them with the edge of the sword  ^ 2
the sins of jeroboam which  ^ 2
in those days the lord  ^ 2
days the lord began  ^ 2
is by the river arnon  ^ 2
all the land of gilead  ^ 2
his fathers and they buried him in samaria  ^ 2
and said to all  ^ 2
stood by a pillar  ^ 2
they dealt faithfully  ^ 2
and the rest of the acts of joash  ^ 2
of the acts of joash and all  ^ 2
of joash and all that  ^ 2
no more money of  ^ 2
in the three and twentieth year  ^ 2
reigned in his stead in the thirty  ^ 2
made israel sin  ^ 2
he departed not from all  ^ 2
not from all the sins  ^ 2
from all the sins of jeroboam  ^ 2
king of judah are they  ^ 2
in samaria with the kings  ^ 2
with the kings of israel  ^ 2
sat upon his throne  ^ 2
my father the chariot of israel  ^ 2
the chariot of israel and the horsemen  ^ 2
put his hands upon  ^ 2
the son of nebat which  ^ 2
of nebat which made  ^ 2
israel to sin he departed  ^ 2
to sin he departed not  ^ 2
he departed not therefrom  ^ 2
of benhadad the son of hazael  ^ 2
of hazael king of syria  ^ 2
of israel because the king  ^ 2
and the lord hearkened unto  ^ 2
and the children of israel dwelt  ^ 2
of israel in the second year  ^ 2
unto the corner gate  ^ 2
jonah the son of amittai  ^ 2
the fathers shall not be put to death  ^ 2
shall not be put to death for  ^ 2
be put to death for the children  ^ 2
be put to death for the fathers  ^ 2
every man shall be put to death for his own sin  ^ 2
of edom in the valley  ^ 2
edom in the valley of salt  ^ 2
king of judah to reign  ^ 2
and slew him and reigned in his stead  ^ 2
him and reigned in his stead and the rest  ^ 2
in his stead and the rest of the acts  ^ 2
this was the word of the lord  ^ 2
which he spoke unto  ^ 2
shallum the son of jabesh  ^ 2
in the nine and thirtieth year  ^ 2
he departed not from the sins  ^ 2
not from the sins of jeroboam  ^ 2
of the kings house with  ^ 2
that he did behold  ^ 2
he did behold they are written  ^ 2
pekah the son of remaliah  ^ 2
of jotham the son of uzziah  ^ 2
the son of uzziah king  ^ 2
year of pekah the son  ^ 2
of pekah the son of remaliah  ^ 2
the son of remaliah king  ^ 2
were not removed the people  ^ 2
removed the people sacrificed  ^ 2
of the lord now the rest of the acts  ^ 2
the king of syria and pekah  ^ 2
of syria and pekah the son  ^ 2
and pekah the son of remaliah  ^ 2
of judah in those days  ^ 2
according to all that king  ^ 2
of the lord and put it on  ^ 2
altar which was before  ^ 2
of judah began to reign twenty  ^ 2
twenty years old  ^ 2
the lord cast out from before  ^ 2
cast out from before the children  ^ 2
rezin king of syria  ^ 2
of assyria and the king of assyria  ^ 2
reigned in his stead in the twelfth  ^ 2
in his stead in the twelfth year  ^ 2
of ahaz king of judah  ^ 2
green tree and there  ^ 2
according to all the law which  ^ 2
which i commanded your fathers  ^ 2
the commandments of the lord their god  ^ 2
their sons and their daughters to pass through  ^ 2
all the seed of israel  ^ 2
all his servants the prophets  ^ 2
this day and the king  ^ 2
not the manner of the god  ^ 2
fear other gods  ^ 2
out of the land of egypt with great  ^ 2
of egypt with great power  ^ 2
them in halah and in habor by the river  ^ 2
and in habor by the river of gozan  ^ 2
by the river of gozan and in the cities  ^ 2
of gozan and in the cities of the medes  ^ 2
of the watchmen to the fenced  ^ 2
to the fenced city  ^ 2
year of hoshea son  ^ 2
of hoshea son of elah  ^ 2
son of elah king  ^ 2
of elah king of israel  ^ 2
all that moses  ^ 2
because they obeyed not  ^ 2
cities of judah and took  ^ 2
king of judah sent  ^ 2
king hezekiah with a great  ^ 2
by the conduit of the upper pool  ^ 2
and the king of assyria sent  ^ 2
of hilkiah which was over  ^ 2
the son of hilkiah which  ^ 2
thus saith the great  ^ 2
saith the great king  ^ 2
the great king the king  ^ 2
the king of assyria what  ^ 2
of assyria what confidence  ^ 2
what confidence is this  ^ 2
confidence is this wherein  ^ 2
is this wherein thou trustest  ^ 2
the recorder and rabshakeh said  ^ 2
and rabshakeh said unto  ^ 2
ye now to hezekiah  ^ 2
now on whom  ^ 2
on whom dost thou trust  ^ 2
whom dost thou trust that  ^ 2
dost thou trust that thou rebellest  ^ 2
they are but vain words i have counsel  ^ 2
words i have counsel and strength  ^ 2
if a man lean it will go  ^ 2
lean it will go into his hand  ^ 2
it will go into his hand and pierce  ^ 2
into his hand and pierce it so  ^ 2
and pierce it so is pharaoh  ^ 2
it so is pharaoh king  ^ 2
is pharaoh king of egypt  ^ 2
whose high places and whose altars  ^ 2
high places and whose altars hezekiah  ^ 2
and whose altars hezekiah hath taken away  ^ 2
ye shall worship before this  ^ 2
before this altar  ^ 2
me we trust in the lord  ^ 2
thee two thousand horses if  ^ 2
horses if thou be able  ^ 2
if thou be able on thy part to set  ^ 2
thou be able on thy part to set riders  ^ 2
on thy part to set riders upon  ^ 2
