Phrase ^ Count
saith the lord  ^ 731
brethren james  ^ 2
apart and  ^ 2
hither to me  ^ 2
disciples to the  ^ 2
multitude to sit down  ^ 2
they took up of the  ^ 2
full and  ^ 2
men beside  ^ 2
beside women  ^ 2
straightway jesus  ^ 2
he went up into  ^ 2
fear but  ^ 2
lord save  ^ 2
brought unto him  ^ 2
the hem  ^ 2
hem of his  ^ 2
as a prophet  ^ 2
came to jesus  ^ 2
understand not  ^ 2
defileth a man  ^ 2
a man but  ^ 2
a man then  ^ 2
goeth into  ^ 2
mouth goeth  ^ 2
transgress the  ^ 2
my daughter  ^ 2
was made whole from  ^ 2
from that very  ^ 2
that very hour  ^ 2
your tradition  ^ 2
disciples say  ^ 2
and gave thanks  ^ 2
them a sign  ^ 2
baskets ye took up  ^ 2
loaves of the  ^ 2
and how many  ^ 2
or one  ^ 2
shall be loosed  ^ 2
loosed in  ^ 2
the keys  ^ 2
heaven he  ^ 2
the sky  ^ 2
sky is red  ^ 2
jesus unto his  ^ 2
every man according  ^ 2
is red and  ^ 2
jesus perceived  ^ 2
ye have faith  ^ 2
ye shall say unto this  ^ 2
what thinkest  ^ 2
tribute of  ^ 2
of strangers  ^ 2
unto them moses  ^ 2
again i say  ^ 2
are gathered together  ^ 2
account of  ^ 2
a certain king which  ^ 2
have patience with  ^ 2
and i will pay  ^ 2
i will pay thee  ^ 2
the debt  ^ 2
debt but  ^ 2
not every one  ^ 2
thee it is  ^ 2
rather than having  ^ 2
everlasting fire  ^ 2
hand or  ^ 2
pluck it out and  ^ 2
there are some eunuchs  ^ 2
some eunuchs which  ^ 2
rebuked them  ^ 2
his hands on them  ^ 2
be saved but  ^ 2
in the throne  ^ 2
the throne of his  ^ 2
jesus now  ^ 2
in bethlehem  ^ 2
bethlehem of judea  ^ 2
and frankincense  ^ 2
frankincense and  ^ 2
being warned of god in  ^ 2
arise and take  ^ 2
of the lord appeareth  ^ 2
to joseph in  ^ 2
the death  ^ 2
and sent forth  ^ 2
then herod  ^ 2
and under  ^ 2
then was fulfilled  ^ 2
jeremiah the  ^ 2
the east  ^ 2
and took the  ^ 2
he came and dwelt  ^ 2
lo the  ^ 2
every man a penny  ^ 2
a penny and  ^ 2
called but  ^ 2
but few  ^ 2
chosen and  ^ 2
mother of zebedees  ^ 2
of zebedees children  ^ 2
children with  ^ 2
shall drink  ^ 2
let him be your  ^ 2
but it shall not  ^ 2
your servant  ^ 2
standing idle  ^ 2
he went out about  ^ 2
others standing  ^ 2
on us o lord  ^ 2
two blind men  ^ 2
the more saying  ^ 2
whatsoever is  ^ 2
eleventh hour  ^ 2
because no man  ^ 2
of olives then  ^ 2
hosanna to the  ^ 2
to the son  ^ 2
when the chief priests  ^ 2
unto him hearest  ^ 2
fig tree withered away  ^ 2
and a colt  ^ 2
saw it they marveled  ^ 2
temple the  ^ 2
he came to the  ^ 2
the harlots  ^ 2
servants to  ^ 2
other servants  ^ 2
more than the  ^ 2
them his  ^ 2
shall be taken from  ^ 2
a colt the foal  ^ 2
the foal of an ass  ^ 2
as jesus  ^ 2
of david blessed  ^ 2
a wedding garment  ^ 2
took counsel  ^ 2
for any  ^ 2
saith he unto them  ^ 2
likewise the  ^ 2
call him  ^ 2
no man was able  ^ 2
go ye therefore  ^ 2
jesus to the  ^ 2
master even christ  ^ 2
to make one  ^ 2
it is nothing  ^ 2
ye blind guides  ^ 2
that sanctifieth the  ^ 2
ye fools and  ^ 2
blind for  ^ 2
gift that  ^ 2
by heaven  ^ 2
but within  ^ 2
and lay  ^ 2
all ye  ^ 2
and shall deceive  ^ 2
shall be preached in  ^ 2
not since  ^ 2
believe it not  ^ 2
shall the sun  ^ 2
tribes of the  ^ 2
and they shall see  ^ 2
they shall see the  ^ 2
angels with  ^ 2
knoweth no  ^ 2
not until  ^ 2
watch therefore  ^ 2
took their  ^ 2
to every man according  ^ 2
and five  ^ 2
lord thou deliveredst  ^ 2
thou deliveredst unto me  ^ 2
talents behold  ^ 2
behold i have gained  ^ 2
beside them  ^ 2
talents came  ^ 2
came and brought  ^ 2
servant thou hast been  ^ 2
faithful over  ^ 2
over a few things  ^ 2
a few things i will make thee ruler  ^ 2
i will make thee ruler over  ^ 2
over many things  ^ 2
many things enter  ^ 2
enter thou into  ^ 2
thou into the  ^ 2
joy of thy  ^ 2
of thy lord  ^ 2
unto him well done  ^ 2
faithful servant  ^ 2
two talents  ^ 2
into outer  ^ 2
the goats  ^ 2
unto them on  ^ 2
i was a stranger  ^ 2
for i was hungry  ^ 2
i was hungry and  ^ 2
and ye gave  ^ 2
ye gave me  ^ 2
meat i was thirsty  ^ 2
i was thirsty and  ^ 2
and ye clothed  ^ 2
ye clothed me  ^ 2
and ye visited  ^ 2
ye visited me  ^ 2
we thee hungry  ^ 2
hungry and  ^ 2
answer him  ^ 2
or naked  ^ 2
or when  ^ 2
sick or  ^ 2
unto you inasmuch as  ^ 2
of the least  ^ 2
least of these  ^ 2
slept and  ^ 2
unto the wise  ^ 2
and said unto them what  ^ 2
from that time  ^ 2
is at hand  ^ 2
said go  ^ 2
jesus had appointed  ^ 2
had appointed them  ^ 2
then judas  ^ 2
this fruit  ^ 2
saith jesus  ^ 2
unto him though  ^ 2
cometh jesus  ^ 2
watch with  ^ 2
saying o my  ^ 2
o my father  ^ 2
pass from  ^ 2
and kill  ^ 2
me one  ^ 2
his place  ^ 2
that thus  ^ 2
to put him to death  ^ 2
to destroy the  ^ 2
there came unto him  ^ 2
the potters  ^ 2
potters field  ^ 2
hearest thou not  ^ 2
the thirty  ^ 2
they took the  ^ 2
they found a man  ^ 2
written this  ^ 2
the ninth  ^ 2
the rocks  ^ 2
the earthquake  ^ 2
when the even  ^ 2
the even was come  ^ 2
to be delivered and  ^ 2
other mary  ^ 2
he is risen from  ^ 2
his countenance  ^ 2
snow and  ^ 2
became as  ^ 2
as dead  ^ 2
is at hand for  ^ 2
angels came  ^ 2
of zebulun and  ^ 2
saw great  ^ 2
from thence he saw  ^ 2
jesus went about  ^ 2
went about all  ^ 2
devil taketh him up  ^ 2
taketh him up into  ^ 2
theirs is  ^ 2
of heaven blessed  ^ 2
and glorify  ^ 2
he opened his  ^ 2
that it was said  ^ 2
it was said by them of old time  ^ 2
for it is profitable  ^ 2
it is profitable for thee  ^ 2
for thee that  ^ 2
of thy members  ^ 2
members should perish  ^ 2
should perish and  ^ 2
not that thy  ^ 2
that thy whole  ^ 2
body should be cast  ^ 2
should be cast into  ^ 2
thine enemy  ^ 2
they shall inherit  ^ 2
no reward  ^ 2
heaven give  ^ 2
if ye forgive  ^ 2
men their  ^ 2
unto men to fast  ^ 2
anoint thine  ^ 2
is in secret  ^ 2
secret shall reward  ^ 2
rust doth corrupt  ^ 2
doth corrupt and  ^ 2
where thieves  ^ 2
for yourselves treasures  ^ 2
streets that  ^ 2
eye be  ^ 2
body shall be  ^ 2
grass of the  ^ 2
corners of the  ^ 2
when thou prayest  ^ 2
will he give him  ^ 2
is the way  ^ 2
is the gate  ^ 2
ye shall know them  ^ 2
their fruits  ^ 2
tree bringeth forth  ^ 2
evil fruit  ^ 2
fruit every  ^ 2
which built  ^ 2
built his  ^ 2
house upon  ^ 2
sayings of mine  ^ 2
of mine and  ^ 2
winds blew  ^ 2
blew and  ^ 2
and beat upon  ^ 2
beat upon that  ^ 2
rain descended  ^ 2
descended and  ^ 2
the floods  ^ 2
floods came  ^ 2
the fall  ^ 2
mote out of  ^ 2
of swine and  ^ 2
come to call  ^ 2
arose and followed  ^ 2
behold they brought  ^ 2
they brought to him  ^ 2
a bed and  ^ 2
the maid  ^ 2
seen in  ^ 2
before the fire  ^ 2
forever arise  ^ 2
their skin from off  ^ 2
there the lord  ^ 2
are gathered against  ^ 2
all thy strongholds  ^ 2
they have not heard  ^ 2
until the time  ^ 2
in the strength of the lord  ^ 2
into our land and when  ^ 2
for man nor  ^ 2
and the remnant of jacob  ^ 2
in the midst of many  ^ 2
aaron and miriam  ^ 2
as the mire of the streets  ^ 2
who can stand  ^ 2
i am against thee saith  ^ 2
the son of hachaliah  ^ 2
and it came to pass in the month  ^ 2
to fear thy name  ^ 2
for i was  ^ 2
of the captivity  ^ 2
and the gates thereof are burned  ^ 2
thereof are burned with fire  ^ 2
thee o lord god  ^ 2
thy servant moses  ^ 2
thou commandedst thy servant  ^ 2
shebaniah hodijah  ^ 2
malluch harim  ^ 2
unto the law  ^ 2
the law of god  ^ 2
at times appointed  ^ 2
in all the cities  ^ 2
jedaiah the son  ^ 2
the son of joiarib  ^ 2
the son of micha  ^ 2
dwelt in ophel  ^ 2
of mattaniah the son  ^ 2
the son of meshezabeel  ^ 2
of judah dwelt  ^ 2
the son of colhozeh  ^ 2
are the sons of benjamin  ^ 2
of david the man  ^ 2
and in the days of nehemiah  ^ 2
of zaccur the son  ^ 2
and ezra the scribe  ^ 2
the broad wall  ^ 2
the sheep gate  ^ 2
of god forever  ^ 2
not the children  ^ 2
of eliashib the high  ^ 2
in the courts of the house  ^ 2
the horonite and tobiah  ^ 2
and tobiah the servant  ^ 2
the servant the ammonite  ^ 2
of jerusalem which  ^ 2
by the gate of the valley  ^ 2
lieth waste and the gates  ^ 2
and geshem the arabian  ^ 2
of my fathers sepulchers  ^ 2
forever why  ^ 2
to the god  ^ 2
in thy sight that  ^ 2
unto the king if  ^ 2
the governors beyond  ^ 2
repaired the other  ^ 2
the other piece  ^ 2
part of jerusalem  ^ 2
built it and set up  ^ 2
the ruler of part  ^ 2
unto the place over against  ^ 2
part of keilah  ^ 2
the son of henadad  ^ 2
piece over against  ^ 2
and next to  ^ 2
meremoth the son  ^ 2
the son of urijah  ^ 2
of urijah the son  ^ 2
the son of koz  ^ 2
them the tekoites repaired  ^ 2
over against his house  ^ 2
them repaired zadok  ^ 2
zadok the son  ^ 2
thereof and set up the doors  ^ 2
meshullam the son  ^ 2
hananiah the son  ^ 2
the going up of the corner  ^ 2
thereof and the bars and next  ^ 2
but it came to pass that when  ^ 2
that when sanballat  ^ 2
unto the nobles  ^ 2
the nobles and to  ^ 2
the rulers and to  ^ 2
and to the rest  ^ 2
our enemies heard  ^ 2
wrought in the work  ^ 2
sanballat and tobiah  ^ 2
unto our god  ^ 2
according to this promise  ^ 2
us from among the heathen  ^ 2
that said  ^ 2
our sons and our daughters  ^ 2
the nobles and the rulers  ^ 2
thought to do  ^ 2
according to these words  ^ 2
forty and eight  ^ 2
threescore and seven  ^ 2
and eight the men  ^ 2
forty and three  ^ 2
of the fathers gave  ^ 2
gave to the treasure  ^ 2
of gold and two thousand  ^ 2
was before the water  ^ 2
the street that  ^ 2
olive branches  ^ 2
the morning until  ^ 2
of wood which  ^ 2
amen amen  ^ 2
is holy unto the lord  ^ 2
wherein they should go  ^ 2
great provocations  ^ 2
the land concerning which  ^ 2
heardest them from heaven  ^ 2
again before  ^ 2
unto thy commandments  ^ 2
that thou gavest  ^ 2
works behold  ^ 2
we are servants  ^ 2
and bless the lord  ^ 2
thou even thou  ^ 2
year after they were come out  ^ 2
after they were come out of the land  ^ 2
elishama the son  ^ 2
abidan the son  ^ 2
ahiezer the son  ^ 2
pagiel the son  ^ 2
eliasaph the son  ^ 2
ahira the son  ^ 2
of the tribes of their fathers  ^ 2
in israel and moses  ^ 2
the sum of all  ^ 2
of the names by their polls  ^ 2
by their polls every  ^ 2
male from twenty  ^ 2
those that were numbered of them according to the number  ^ 2
and nine thousand  ^ 2
of israel by the house  ^ 2
and fifty but the levites  ^ 2
were not numbered  ^ 2
that shall stand  ^ 2
elizur the son  ^ 2
the tabernacle of testimony  ^ 2
by his own standard  ^ 2
no wrath  ^ 2
shelumiel the son  ^ 2
nahshon the son  ^ 2
nethaneel the son  ^ 2
eliab the son  ^ 2
and in the beginnings of your months  ^ 2
from off the tabernacle  ^ 2
that the cloud was taken up  ^ 2
the standard of the camp  ^ 2
set forward bearing  ^ 2
of the camp of reuben  ^ 2
set forward according to their armies  ^ 2
of the lord went  ^ 2
when ye blow an alarm  ^ 2
then the camps that lie  ^ 2
of the lord burnt  ^ 2
unto all this  ^ 2
who shall give us flesh  ^ 2
shall give us flesh to eat  ^ 2
before him saying  ^ 2
a whole month  ^ 2
not and moses  ^ 2
the tabernacle and the lord  ^ 2
rested upon  ^ 2
and the people journeyed  ^ 2
from hazeroth and pitched  ^ 2
in the door of the tabernacle  ^ 2
oshea the son  ^ 2
moses sent  ^ 2
and see the land  ^ 2
they dwell  ^ 2
and what the land  ^ 2
from the wilderness of zin  ^ 2
floweth with milk  ^ 2
of judah caleb  ^ 2
and of great mercy  ^ 2
saying how long  ^ 2
they murmur  ^ 2
evil congregation  ^ 2
of jephunneh and joshua  ^ 2
against me in this  ^ 2
to search the land  ^ 2
of nun and caleb  ^ 2
of jephunneh which were of  ^ 2
shall not prosper  ^ 2
of the lord and moses  ^ 2
land if  ^ 2
half a hin  ^ 2
a hin of wine  ^ 2
for one bullock  ^ 2
for one ram  ^ 2
one ordinance  ^ 2
a heave offering unto the lord  ^ 2
of the first of your dough  ^ 2
moses even  ^ 2
and they shall bring  ^ 2
of israel and the stranger  ^ 2
unto the lord of  ^ 2
in performing a vow  ^ 2
a vow or  ^ 2
part of a hin of oil  ^ 2
his offering unto the lord  ^ 2
mingled with the fourth  ^ 2
part of a hin of wine  ^ 2
we will not come up  ^ 2
his censer and put  ^ 2
incense in  ^ 2
the congregation and the lord  ^ 2
from among this  ^ 2
congregation that i may consume  ^ 2
man sin  ^ 2
the god of the spirits  ^ 2
of the spirits of all  ^ 2
the congregation saying  ^ 2
saying get you up  ^ 2
the tabernacle of korah  ^ 2
of korah dathan  ^ 2
from the tabernacle  ^ 2
and they gathered themselves together against  ^ 2
and all their goods  ^ 2
and the earth opened  ^ 2
eleazar the son  ^ 2
of the congregation and behold  ^ 2
and made an atonement for  ^ 2
in the plague were  ^ 2
and take of  ^ 2
the tabernacle of witness  ^ 2
with thee shall bear  ^ 2
thee shall bear the iniquity  ^ 2
which they bring  ^ 2
or the firstling  ^ 2
the vessels of the sanctuary  ^ 2
of all the tabernacle  ^ 2
they shall not come nigh  ^ 2
of israel and i  ^ 2
shall be put to death and the lord  ^ 2
the ashes of the heifer  ^ 2
the dead body  ^ 2
or a grave  ^ 2
is the ordinance of the law  ^ 2
but the man that  ^ 2
the priest shall take  ^ 2
shall be the standard of the camp  ^ 2
according to their armies and the captain  ^ 2
by him shall be the tribe  ^ 2
and those that were numbered of them were fifty  ^ 2
shall be eliasaph the son  ^ 2
that were numbered in the camp  ^ 2
thousand and fifty  ^ 2
of the camp of ephraim  ^ 2
of the sons of ephraim  ^ 2
and those that were numbered of them were thirty  ^ 2
and those that were numbered thereof were fifty  ^ 2
of israel even the whole  ^ 2
even the whole congregation  ^ 2
he smote the rock  ^ 2
is the water of meribah  ^ 2
by the kings high way  ^ 2
we will not turn  ^ 2
to the right hand nor to the left  ^ 2
unto mount hor  ^ 2
of the land of edom  ^ 2
i have given unto the children  ^ 2
aaron of his garments  ^ 2
of his garments and put them upon  ^ 2
and put them upon eleazar  ^ 2
his son and aaron  ^ 2
into mount  ^ 2
mount hor  ^ 2
the congregation and moses  ^ 2
neither is there any water  ^ 2
arad the canaanite  ^ 2
that israel  ^ 2
of israel set forward  ^ 2
set forward and pitched  ^ 2
and pitched in oboth  ^ 2
from oboth and pitched  ^ 2
from thence they removed  ^ 2
they removed and pitched  ^ 2
of the amorites for  ^ 2
of arnon which  ^ 2
then israel  ^ 2
toward jeshimon  ^ 2
which looketh toward  ^ 2
it upon a pole  ^ 2
and pitched in the plains  ^ 2
balak the son  ^ 2
behold there is a people  ^ 2
there is a people come out  ^ 2
the princes of balak  ^ 2
and the princes of moab  ^ 2
balaam and said  ^ 2
curse me  ^ 2
thou sayest unto  ^ 2
therefore i pray thee curse  ^ 2
would give me his house  ^ 2
me his house full  ^ 2
full of silver  ^ 2
and gold i cannot  ^ 2
i cannot go beyond  ^ 2
if balak  ^ 2
balak would give  ^ 2
here this night  ^ 2
and balak the son  ^ 2
the princes of moab  ^ 2
and the ass saw  ^ 2
standing in the way  ^ 2
in the way and his sword  ^ 2
and his sword drawn  ^ 2
and when the ass saw  ^ 2
me these three  ^ 2
i went out  ^ 2
i knew not  ^ 2
of moab which  ^ 2
thou not unto  ^ 2
and prepare me here  ^ 2
balak build  ^ 2
build me here  ^ 2
altars and prepare  ^ 2
mine enemies and behold  ^ 2
thee to curse mine enemies  ^ 2
and offered a bullock  ^ 2
and a ram on every altar  ^ 2
by thy burnt offering  ^ 2
met balaam  ^ 2
rams and balak  ^ 2
and balak did  ^ 2
as balaam  ^ 2
he hath as it were the strength of a unicorn  ^ 2
lie down until  ^ 2
was kindled against  ^ 2
whose eyes are open  ^ 2
are open hath said  ^ 2
of beor hath said  ^ 2
hath said and the man  ^ 2
and the man whose eyes  ^ 2
hath said he hath said  ^ 2
the vision of the almighty  ^ 2
of the almighty falling  ^ 2
falling into a trance  but having his eyes  ^ 2
into a trance  but having his eyes open  ^ 2
he hath said which heard  ^ 2
which heard the words  ^ 2
the matter of peor  ^ 2
the man of israel  ^ 2
of zerah the family  ^ 2
hundred the sons  ^ 2
of hezron the family  ^ 2
the family of the hezronites  ^ 2
according to those that were numbered of them threescore  ^ 2
of joseph after their families  ^ 2
of the sons of manasseh  ^ 2
of benjamin after their families  ^ 2
and they that were numbered of them were forty  ^ 2
of dan after their families  ^ 2
the land shall be divided  ^ 2
when they offered strange  ^ 2
of them were twenty  ^ 2
of israel in the plains  ^ 2
these are they that were numbered  ^ 2
and aaron the priest  ^ 2
in the company of korah  ^ 2
of manasseh of the families  ^ 2
and hoglah and milcah  ^ 2
and if he have no  ^ 2
brethren then ye shall give  ^ 2
this mount  ^ 2
before them and which  ^ 2
him before eleazar  ^ 2
and before all  ^ 2
the lord at  ^ 2
with oil for one  ^ 2
unto one lamb  ^ 2
unto you without blemish and their meat offering  ^ 2
tenth deals for a ram  ^ 2
for a bullock and two  ^ 2
for a sin offering to make an atonement  ^ 2
for ye shall offer  ^ 2
beside the burnt offering  ^ 2
and his drink offering and on the seventh  ^ 2
tenth deals unto one  ^ 2
ram a several tenth deal  ^ 2
shalt thou offer at  ^ 2
burnt offering and the meat offering  ^ 2
and ye shall offer a burnt offering  ^ 2
a burnt offering a sacrifice made by fire  ^ 2
a sacrifice made by fire of a sweet  ^ 2
rams fourteen  ^ 2
fourteen lambs  ^ 2
without spot and their meat offering  ^ 2
without blemish their meat offering  ^ 2
their meat offering and their drink offerings  ^ 2
but ye shall offer a burnt offering  ^ 2
of israel instead of  ^ 2
of their fathers by their families  ^ 2
and moses numbered  ^ 2
of them according to the number of all  ^ 2
for the door of the tabernacle  ^ 2
of gershon in the tabernacle  ^ 2
of the congregation and the hangings  ^ 2
and by the altar  ^ 2
and the hangings of the court  ^ 2
of the court which  ^ 2
is by the tabernacle  ^ 2
the tabernacle and by  ^ 2
keeping the charge  ^ 2
of the father of the families  ^ 2
wherewith they minister  ^ 2
of the tabernacle and the bars  ^ 2
and the bars thereof and the pillars  ^ 2
and the pillars of the court  ^ 2
round about and their sockets  ^ 2
and their sockets and their pins  ^ 2
and their pins and their cords  ^ 2
and the cattle of the levites  ^ 2
of the levites instead of  ^ 2
and the levites shall be  ^ 2
take the levites  ^ 2
all the instruments  ^ 2
they are wholly given  ^ 2
and every bond  ^ 2
bond wherewith  ^ 2
and her husband heard  ^ 2
her vows shall stand  ^ 2
shall stand and every  ^ 2
at her in the day that he heard  ^ 2
which are by  ^ 2
the asses and of  ^ 2
and of the children of israels  ^ 2
one portion  ^ 2
of fifty  ^ 2
which the men  ^ 2
thousand beefs  ^ 2
thousand asses  ^ 2
thousand persons  ^ 2
hundred sheep  ^ 2
thousand of which the lords  ^ 2
a thousand of every tribe  ^ 2
armed for war  ^ 2
took the gold  ^ 2
the gold of  ^ 2
of the captains  ^ 2
and the lords anger  ^ 2
every man armed  ^ 2
jordan and moses  ^ 2
of gad and to the children  ^ 2
and to the children of reuben  ^ 2
of manasseh went  ^ 2
the heart of the children  ^ 2
of moses and aaron  ^ 2
and pitched in mount  ^ 2
these are they whom  ^ 2
are they whom the lord  ^ 2
shall be your north  ^ 2
your north border  ^ 2
and if he smite  ^ 2
wherewith he may die  ^ 2
he may die and he die  ^ 2
and he die he  ^ 2
the revenger of blood  ^ 2
shall slay the murderer  ^ 2
the murderer when he meeteth  ^ 2
but if he thrust  ^ 2
the city of his refuge  ^ 2
of his refuge whither  ^ 2
whither he was fled  ^ 2
of the city of his refuge  ^ 2
no satisfaction  ^ 2
ye shall give unto the levites  ^ 2
on the east  ^ 2
of the sons of joseph  ^ 2
the inheritance of the tribe  ^ 2
of the tribe whereunto  ^ 2
whereunto they are received  ^ 2
they shall spread a cloth  ^ 2
and they shall spread upon  ^ 2
thereof wherewith they minister  ^ 2
of kohath in the tabernacle  ^ 2
the sum of the sons  ^ 2
the work in the tabernacle  ^ 2
old shalt thou number  ^ 2
of the congregation this  ^ 2
according to all their service  ^ 2
under the hand of ithamar  ^ 2
and after the house of their fathers  ^ 2
and aaron and the chief  ^ 2
after their families and after the house  ^ 2
were two thousand  ^ 2
and aaron did number  ^ 2
did number according to  ^ 2
that might do service in the tabernacle  ^ 2
the ark of testimony  ^ 2
and shall put in the staves  ^ 2
and she be defiled  ^ 2
of jealousy come  ^ 2
him and he be jealous of his wife  ^ 2
of his wife and she  ^ 2
the woman before  ^ 2
shall enter into her and become bitter  ^ 2
the woman to drink  ^ 2
that causeth the curse shall enter  ^ 2
is the law of the nazarite  ^ 2
and one unleavened  ^ 2
their offering before  ^ 2
one spoon  ^ 2
full of incense  ^ 2
them unto the levites  ^ 2
oxen he gave  ^ 2
he gave unto the sons  ^ 2
this was the dedication  ^ 2
was the dedication of the altar  ^ 2
bullocks the rams  ^ 2
the lambs of the first  ^ 2
and thou shalt bring the levites  ^ 2
before aaron  ^ 2
aaron and before  ^ 2
and before his sons  ^ 2
of the lord in his appointed season  ^ 2
and at the commandment  ^ 2
and journeyed not  ^ 2
of the lord they journeyed  ^ 2
when the cloud  ^ 2
by the dead body of a man  ^ 2
in the day of distress  ^ 2
upon my holy  ^ 2
a prisoner of jesus  ^ 2
through your  ^ 2
for i trust  ^ 2
my fellow laborers  ^ 2
grace to you  ^ 2
and consolation  ^ 2
consolation in  ^ 2
christ to all  ^ 2
the day of christ  ^ 2
manifest in  ^ 2
of you always  ^ 2
yet more  ^ 2
every knee  ^ 2
of life that  ^ 2
and rejoice with  ^ 2
and service  ^ 2
that i also  ^ 2
i trust in  ^ 2
death even  ^ 2
calling of god  ^ 2
whose god  ^ 2
the righteousness which  ^ 2
loss for  ^ 2
righteousness which is of  ^ 2
that now  ^ 2
only for  ^ 2
me greet  ^ 2
the book of life  ^ 2
the lord always  ^ 2
are true  ^ 2
of peace shall be  ^ 2
the proverbs of solomon  ^ 2
wisdom and instruction  ^ 2
when your fear cometh  ^ 2
and judgment and equity  ^ 2
and forsake not  ^ 2
the law of thy mother  ^ 2
son maketh a glad  ^ 2
maketh a glad father  ^ 2
father but a foolish  ^ 2
but a prating fool  ^ 2
fool shall fall  ^ 2
but violence covereth  ^ 2
covereth the mouth  ^ 2
knowledge but the mouth  ^ 2
the rich mans wealth  ^ 2
wealth is his strong  ^ 2
is his strong city  ^ 2
but righteousness delivereth  ^ 2
delivereth from death  ^ 2
the lips of the righteous  ^ 2
the blessing of the lord  ^ 2
no sorrow  ^ 2
but the expectation of the wicked  ^ 2
of the wicked shall perish  ^ 2
but destruction shall be to the workers  ^ 2
shall be to the workers of iniquity  ^ 2
but the mouth of the wicked  ^ 2
is a wise son  ^ 2
is a son that causeth shame  ^ 2
the wise in heart  ^ 2
he that walketh uprightly  ^ 2
is abomination to the lord  ^ 2
revealeth secrets  ^ 2
but in the multitude of counselors  ^ 2
of counselors there is safety  ^ 2
cometh then cometh  ^ 2
though hand join in hand  ^ 2
he that trusteth  ^ 2
but the wicked shall fall  ^ 2
of the upright shall deliver  ^ 2
he that tilleth his land  ^ 2
the wicked is snared  ^ 2
by the fruit of his mouth  ^ 2
but a false witness  ^ 2
knowledge but the heart  ^ 2
in the heart of man  ^ 2
but the way of the wicked  ^ 2
a virtuous woman  ^ 2
not rebuke  ^ 2
is a fountain of life  ^ 2
of life to depart  ^ 2
to depart from the snares  ^ 2
from the snares of death  ^ 2
falleth into mischief  ^ 2
instruction but he that regardeth  ^ 2
but he that regardeth reproof  ^ 2
the house of the wicked  ^ 2
there is a way  ^ 2
but the end thereof are the ways  ^ 2
thereof are the ways of death  ^ 2
feareth the lord  ^ 2
but he that is perverse in his ways  ^ 2
of fools is folly  ^ 2
he that oppresseth the poor  ^ 2
the poor reproacheth  ^ 2
reproacheth his maker  ^ 2
hell and destruction  ^ 2
a merry heart  ^ 2
seeketh knowledge  ^ 2
but the mouth of fools  ^ 2
man stirreth up  ^ 2
but a foolish man  ^ 2
how good  ^ 2
is far from the wicked  ^ 2
and before honor  ^ 2
honor is humility  ^ 2
the sacrifice of the wicked  ^ 2
of the wicked is an abomination  ^ 2
the way of the wicked  ^ 2
wickedness for  ^ 2
how much better  ^ 2
in his own eyes but the lord  ^ 2
shall find good  ^ 2
that is not good  ^ 2
good evil  ^ 2
a foolish son  ^ 2
spirit even  ^ 2
and the furnace for gold  ^ 2
trieth the hearts  ^ 2
not a fool  ^ 2
the words of a talebearer  ^ 2
of a talebearer are as wounds  ^ 2
are as wounds and they  ^ 2
and they go down  ^ 2
go down into the innermost parts  ^ 2
into the innermost parts of the belly  ^ 2
better is the poor  ^ 2
is the poor that walketh  ^ 2
is not seemly  ^ 2
seemly for a fool  ^ 2
for a servant  ^ 2
is as the roaring of a lion  ^ 2
his hand in his bosom  ^ 2
be unpunished and he that speaketh  ^ 2
and he that speaketh lies  ^ 2
lies shall not  ^ 2
my commandments with  ^ 2
which flattereth with her words  ^ 2
and apply thine heart  ^ 2
of the righteous for  ^ 2
for the upright  ^ 2
then shalt thou understand  ^ 2
not sleep  ^ 2
take his garment  ^ 2
his garment that  ^ 2
that is surety  ^ 2
is surety for a stranger  ^ 2
for a stranger and take a pledge  ^ 2
and take a pledge of him for  ^ 2
of him for a strange woman  ^ 2
the inward parts of the belly  ^ 2
the king and his throne  ^ 2
who can find  ^ 2
a wicked man  ^ 2
look and a proud  ^ 2
and a proud heart  ^ 2
to dwell in  ^ 2
the slothful man saith  ^ 2
man saith there is a lion  ^ 2
meet together the lord  ^ 2
an angry man  ^ 2
remove not  ^ 2
a prudent man foreseeth  ^ 2
man foreseeth the evil  ^ 2
the evil and hideth himself  ^ 2
and hideth himself but the simple  ^ 2
but the simple pass on  ^ 2
pass on and are punished  ^ 2
and enter not  ^ 2
not correction  ^ 2
my heart shall rejoice  ^ 2
let not thine heart  ^ 2
for surely  ^ 2
my ways for  ^ 2
neither desire  ^ 2
shall fall into mischief  ^ 2
thou the lord  ^ 2
to have respect of persons  ^ 2
not i will do  ^ 2
yet a little sleep  ^ 2
sleep a little  ^ 2
a little slumber  ^ 2
slumber a little  ^ 2
a little folding  ^ 2
folding of the hands  ^ 2
of the hands to sleep  ^ 2
to sleep so shall thy poverty  ^ 2
so shall thy poverty come  ^ 2
come as one that traveleth  ^ 2
as one that traveleth and thy want  ^ 2
and thy want as an armed  ^ 2
as an armed man  ^ 2
wise in his own conceit  ^ 2
there is more hope of a fool  ^ 2
of a fool than of  ^ 2
strife the words  ^ 2
covered with silver  ^ 2
a fool according to his folly  ^ 2
according to his folly lest  ^ 2
so is a parable in the mouth  ^ 2
in the mouth of fools  ^ 2
forsake not  ^ 2
is the man that feareth  ^ 2
to the pit  ^ 2
but they that seek the lord  ^ 2
understanding for  ^ 2
than rubies and all  ^ 2
are not to be compared  ^ 2
length of days  ^ 2
from thine eyes keep  ^ 2
